# Lexique ADOC
# Format : Terme | Définition  (une paire par ligne)
# Les lignes commençant par # sont des commentaires

Planogramme | Représentation graphique de l'implantation des produits en rayon.
PLV | Publicité sur le Lieu de Vente : matériel promotionnel en magasin.
Politique de prix | Stratégie globale de l'entreprise concernant la fixation des prix.
Politique tarifaire | Ensemble des décisions relatives aux prix pratiqués.
Positionnement | Place qu'occupe un produit dans l'esprit du consommateur.
Prix psychologique | Prix accepté par la majorité des consommateurs cibles.
Productivité | Rapport entre la production obtenue et les moyens utilisés.
Promotion des ventes | Techniques à court terme pour stimuler les achats.
Prospection | Recherche de nouveaux clients potentiels.
Rayon | Zone d'un magasin regroupant des produits de même nature.
Référencement | Inscription d'un produit dans le catalogue d'un distributeur.
Relation fournisseur | Gestion des interactions avec les partenaires d'approvisionnement.
Rendement linéaire | CA ou marge générée par mètre de linéaire.
Rupture de stock | Absence de produit disponible à la vente au moment de la demande.
SAV | Service Après-Vente : assistance aux clients après achat.
Saisonnalité | Variation régulière des ventes selon les périodes de l'année.
Satisfaction client | Mesure dans laquelle les attentes du client sont comblées.
Segmentation | Division du marché en groupes homogènes de consommateurs.
Stock de sécurité | Stock minimum pour faire face aux aléas de la demande ou livraison.
Stock moyen | (Stock initial + stock final) / 2.
Stratégie de pénétration | Prix bas pour conquérir rapidement des parts de marché.
Stratégie d'écrémage | Prix élevé au lancement pour maximiser la marge sur clients peu sensibles au prix.
Tableau de bord | Outil de pilotage regroupant les indicateurs clés de performance.
Taux de marge | (Marge brute / CA HT) × 100.
Taux de marque | (Marge / Prix de vente HT) × 100.
Taux de rotation | Nombre de fois où le stock se renouvelle sur une période.
Taux de service | Pourcentage de commandes livrées sans rupture ni retard.
Trade marketing | Actions marketing co-développées entre producteur et distributeur.
Up-selling | Technique de vente proposant un produit de gamme supérieure.
USP | Unique Selling Proposition : argument de vente distinctif et unique.
Valeur perçue | Bénéfice que le client estime obtenir pour le prix payé.
Vente additionnelle | Proposition d'un achat supplémentaire lors d'une transaction.
Zone de chalandise | Zone géographique d'où provient la clientèle d'un point de vente.
Zone chaude | Emplacement à fort trafic naturel dans un point de vente.
Zone froide | Emplacement à faible trafic naturel nécessitant une animation.
